Model_Name,Rating,Ram(GB),ROM(GB),Screen_Size(in CM),Rear_Camera(MP),Front_Camera(MP),Battery(MaH),Processer,Price,Link_Of_Product
OnePlus Nord CE 3 Lite 5G,4.4,8 , 256,17.07 cm,108MP,5MP,5000,Domestic,"20,861",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAVDNIED&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZJ45PS4AQ7BA.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 128,17.07 cm,108MP,5MP,5000,Domestic,"19,299",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZFDSJL3&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZJ3WM5SGTGVZ.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
OnePlus Nord CE 3 Lite 5G,4.4,8 , 128,17.07 cm,108MP,5MP,5000,Domestic,"19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNF9EGW4&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZJ42KHUZZKMN.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
POCO C55,4.2,4 , 64 ,17.04 cm,50MP,5MP,5000,Mediatek,"6,299",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGMXSW9PHJVQCA.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
realme 12 Pro+ 5G,4.6,12 , 256,17.02 cm,50MP,32MP,5000,Snapdragon,"33,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8STKHPCKGN&lid=LSTMOBGWH8STKHPCKGNZGIONJ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_k8-mUR00iBCBykcXFr_Q1YatO0hl_oou6y9U5t8qgj-c8GXeDUZzdqzo8JjMZRBAp0QL1N4jrPbQUOfPx77abQ%3D%3D&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
realme 12 Pro 5G,4.5,8 , 256,17.02 cm,50MP,16MP,5000,Snapdragon,"26,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itmcc78f150eeabd?pid=MOBGWH8SSGEEZRDA&lid=LSTMOBGWH8SSGEEZRDAM6ZCMA&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_k8-mUR00iBCBykcXFr_Q1YatO0hl_oou6y9U5t8qgj8uqzEYxNT8c7kjmGNpg5dSbsH6kwBwCD2yp0xOGgDpqg%3D%3D&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
